"","Country","Year","gdp","fertilityrate","netmigration","unemployment","primaryeducation","mortalityratefemale","mortalityratemale","labourforce","grossfixedcapital","secondaryeducation"
"215","Mauritania",1961,159213140.004051,6.401,-336,NA,NA,386.871,413.995,NA,107364590.607656,NA
"216","Malawi",1961,174576508.469831,7.069,0,NA,NA,382.629,464.392,NA,NA,NA
"217","Malaysia",1961,1901868548.28172,6.362,-8340,NA,NA,306.211,361.176,NA,253822030.576245,NA
"218","North America",1961,604324202050.644,3.63215954502989,566007,NA,NA,124.852908010685,223.462385233091,NA,NA,NA
"219","Niger",1961,485785234.940376,7.512,-2893,NA,NA,454.666,503.065,NA,NA,NA
"220","Nigeria",1961,4467200335.99328,6.353,21080,NA,NA,442.702,485.628,NA,NA,NA
"221","Nicaragua",1961,240524723.428571,7.149,-2575,NA,NA,379.643,431.796,NA,NA,NA
"222","Netherlands",1961,13493833739.9949,3.22,-469,NA,NA,86.202,145.411,NA,NA,NA
"223","Norway",1961,5632460936.54576,2.94,978,NA,NA,82.065,148.742,1424,NA,NA
"224","Nepal",1961,531959561.62226,6.063,-10608,NA,NA,427.273,463.942,NA,NA,NA
"225","New Zealand",1961,5670064168.21773,4.305,11045,NA,NA,116.908,185.466,886,NA,NA
"226","OECD members",1961,1136829942663.69,3.29977559515549,495034,NA,NA,135.349150455654,222.475434154281,NA,NA,NA
"227","Pakistan",1961,4118647627.04746,6.8,-133982,NA,NA,413.622,348.518,NA,538639227.215456,NA
"228","Panama",1961,599026300,5.865,-2394,NA,NA,221.131,240.021,NA,90287100,NA
"229","Peru",1961,2899654840.37313,6.923,-375,NA,NA,248.99,272.166,NA,950693588.022388,NA
"230","Philippines",1961,8171186334.65347,7.087,-221620,NA,NA,243.324,295.481,NA,NA,NA
"231","Papua New Guinea",1961,244832035.032526,6.074,-10404,NA,NA,374.081,487.897,NA,30688004.3910852,NA
"232","Pre-demographic dividend",1961,21629720517.4885,6.60274788651434,-8590,NA,NA,415.05643331431,481.757543423884,NA,NA,NA
"233","Puerto Rico",1961,1865100000,4.51,-18255,NA,NA,135.935,225.291,NA,NA,NA
"234","Portugal",1961,3417516639.37596,3.21,-108748,NA,NA,122.576,211.108,NA,NA,NA
"235","Post-demographic dividend",1961,1107845671014.89,2.90879787999328,596009,NA,NA,125.381056960078,211.638202052454,NA,NA,NA
"236","Rwanda",1961,122000016,8.194,-20540,NA,NA,355.659,356.597,NA,NA,NA
"237","South Asia",1961,50316845349.3999,6.09435418037133,-7357,NA,NA,390.600979380654,387.544176463024,NA,7628796142.57146,NA
"238","Sudan",1961,1419333333.33333,6.628,3901,NA,NA,395.659,428.061,NA,NA,NA
"239","Senegal",1961,1058975265.60578,7.038,9545,NA,NA,409.454,429.272,NA,NA,NA
"240","Singapore",1961,764634783.744937,5.41,210,NA,NA,183.017,260.127,NA,97118776.9502156,NA
"241","Sierra Leone",1961,327834680.557103,6.205,-2947,NA,NA,397.647,468.091,NA,NA,NA
"242","Somalia",1961,191659914.376034,7.252,1336,NA,NA,385.936,442.08,NA,NA,NA
"243","Sub-Saharan Africa (excluding high income)",1961,32412500643.4642,6.62570404383262,-42887,NA,NA,400.019538934027,467.36441036559,NA,NA,NA
"244","Sub-Saharan Africa",1961,32423000914.7653,6.62570404383261,-42895,NA,NA,400.003424010845,467.366407496836,NA,NA,NA
"245","Suriname",1961,107700000,6.594,658,NA,NA,292.194,373.171,NA,NA,NA
"246","Sweden",1961,17212686614.5726,2.21,16108,NA,NA,89.857,137.131,NA,5141832722.73426,NA
"247","Eswatini",1961,43025199.4960101,6.774,-2271,NA,NA,396.417,457.65,NA,NA,NA
"248","Seychelles",1961,11592011.5920116,NA,-8,NA,NA,315.068,478.08,NA,NA,NA
"249","Syrian Arab Republic",1961,945244972.067039,7.431,-7368,NA,NA,275.136,314.531,NA,NA,NA
"250","Chad",1961,333975338.83416,6.268,-773,NA,NA,419.653,482.081,NA,NA,NA
"251","East Asia & Pacific (IDA & IBRD countries)",1961,71507024081.1617,4.40750230233873,-336454,NA,NA,386.007173766872,488.739826525778,NA,11264281107.8295,NA
